Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCF_005280275.1	ASM528027v1	Salinivibrio kushneri	1908198		AL184					GCF_005280275.1-RS_2024_03_28	3443290	Complete Genome	2019-05-11		2840906	2840906	2	Pac BIo	93.51	0.65
GCA_024347375.1	ASM2434737v1	Vibrio coralliirubri	1516159		DSM 27495						5742785	Complete Genome	2022-07-13		3681934	3681934	2	Illumina MiSeq; Nanopore	99.74	0.56
GCF_024347375.1	ASM2434737v1	Vibrio coralliirubri	1516159		DSM 27495					GCF_024347375.1-RS_2024_03_30	5742785	Complete Genome	2022-07-13		3681934	3681934	2	Illumina MiSeq; Nanopore	99.74	0.56
GCA_009763805.1	ASM976380v1	Vibrio cidicii	1763883		2756-81						4750222	Complete Genome	2019-12-18		3431466	3431466	2	PacBio	76.29	0.58
GCF_009763805.1	ASM976380v1	Vibrio cidicii	1763883		2756-81					GCF_009763805.1-RS_2024_04_23	4750222	Complete Genome	2019-12-18		3431466	3431466	2	PacBio	76.29	0.58
GCA_900233005.1	Vibrio tapetis CECT4600	Vibrio tapetis subsp. tapetis	1671868					Vibrio tapetis CECT4600		Annotation submitted by University of Brest	5725871	Complete Genome	2018-01-10		3788452	3788452	3		95.64	1.14
GCF_900233005.1	Vibrio tapetis CECT4600	Vibrio tapetis subsp. tapetis	1671868					Vibrio tapetis CECT4600		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5725871	Complete Genome	2018-01-10		3788452	3788452	3		95.64	1.14
GCA_024347335.1	ASM2434733v1	Vibrio celticus	446372		CECT 7224						5636967	Complete Genome	2022-07-13		3620060	3620060	2	Illumina MiSeq; Nanopore	99.83	1.15
GCF_024347335.1	ASM2434733v1	Vibrio celticus	446372		CECT 7224					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5636967	Complete Genome	2022-07-13		3620060	3620060	2	Illumina MiSeq; Nanopore	99.83	1.15
GCA_002216685.1	ASM221668v1	Vibrio tarriae	2014742		2521-89					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4123863	Complete Genome	2017-07-12		3017468	3017468	2	PacBio	98.61	0.03
GCF_002216685.1	ASM221668v1	Vibrio tarriae	2014742		2521-89					GCF_002216685.1-RS_2024_09_05	4123863	Complete Genome	2017-07-12		3017468	3017468	2	PacBio	98.61	0.03
GCA_009938165.1	ASM993816v1	Vibrio taketomensis	2572923		C4III282						4305214	Complete Genome	2020-01-06		2963883	2963883	2	Illumina MiSeq; ONT MinION	89.5	0.48
GCF_009938165.1	ASM993816v1	Vibrio taketomensis	2572923		C4III282					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4305214	Complete Genome	2020-01-06		2963883	2963883	2	Illumina MiSeq; ONT MinION	89.5	0.48
GCA_024347155.1	ASM2434715v1	Vibrio zhugei	2479546		KCTC 62784						4009526	Complete Genome	2022-07-13		2901597	2901597	2	Illumina MiSeq and Nanopore	89.15	0.77
GCF_024347155.1	ASM2434715v1	Vibrio zhugei	2479546		KCTC 62784					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4009526	Complete Genome	2022-07-13		2901597	2901597	2	Illumina MiSeq and Nanopore	89.15	0.77
GCA_002218025.2	ASM221802v2	Vibrio casei	673372		DSM 22364						4140771	Complete Genome	2018-06-06		2756634	2756634	5	Illumina MiSeq; ONT MinION	93.65	1.74
GCF_002218025.2	ASM221802v2	Vibrio casei	673372		DSM 22364					GCF_002218025.2-RS_2024_03_21	4140771	Complete Genome	2018-06-06		2756634	2756634	5	Illumina MiSeq; ONT MinION	93.65	1.74
GCA_030685535.1	ASM3068553v1	Photobacterium leiognathi	553611		ATCC 25521						4751181	Chromosome	2023-08-08		3269131	3269231	3	Oxford Nanopore MinION	95.16	0.51
GCF_030685535.1	ASM3068553v1	Photobacterium leiognathi	553611		ATCC 25521					GCF_030685535.1-RS_2024_08_09	4751181	Chromosome	2023-08-08		3269131	3269231	3	Oxford Nanopore MinION	95.16	0.51
GCA_033566895.1	ASM3356689v1	Vibrio porteresiae DSM 19223	1123496		MSSRF30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5498609	Chromosome	2023-11-13		3625883	3625983	2	Illumina HiSeq; Oxford Nanopore	96.88	4.56
GCF_033566895.1	ASM3356689v1	Vibrio porteresiae DSM 19223	1123496		MSSRF30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5498609	Chromosome	2023-11-13		3625883	3625983	2	Illumina HiSeq; Oxford Nanopore	96.88	4.56
GCA_944737995.1	Vibrio_aestuarianus_02_041	Vibrio aestuarianus subsp. francensis	1443279		02/041					Annotation submitted by STATION BIOLOGIQUE DE ROSCOFF	4196441	Chromosome	2022-07-28	CALYKZ01	2394840	2986630	2	ILLUMINA	98.82	0.15
GCF_944737995.1	Vibrio_aestuarianus_02_041	Vibrio aestuarianus subsp. francensis	1443279		02/041					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4196441	Chromosome	2022-07-28	CALYKZ01	2394840	2986630	2	ILLUMINA	98.82	0.15
GCA_001471585.2	ASM147158v2	Vibrio cholerae	666		FDAARGOS_103					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4036048	Contig	2018-01-19	LOSL02	2902028			PacBio; Illumina	96.12	2.39
GCF_001471585.2	ASM147158v2	Vibrio cholerae	666		FDAARGOS_103					GCF_001471585.2-RS_2024_05_31	4036048	Contig	2018-01-19	LOSL02	2902028			PacBio; Illumina	96.12	2.39
GCA_028120825.1	PDT001589074.1	Vibrio cholerae	666					NCTC8021		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4009603	Contig	2023-01-27	DAMYAF01	35807			ILLUMINA	99.33	1.35
GCF_028120825.1	PDT001589074.1	Vibrio cholerae	666					NCTC8021		GCF_028120825.1-RS_2024_04_20	4009603	Contig	2023-01-27	DAMYAF01	35807			ILLUMINA	99.33	1.35
GCA_000621645.1	ASM62164v1	Vibrio cholerae ATCC 14035	1408478		ATCC 14035						4024517	Scaffold	2014-04-08	JHXR01	168747	208622	62	Illumina HiSeq 2000	99.33	0.24
GCF_000621645.1	ASM62164v1	Vibrio cholerae ATCC 14035	1408478		ATCC 14035					GCF_000621645.1-RS_2024_05_15	4024517	Scaffold	2014-04-08	JHXR01	168747	208622	62	Illumina HiSeq 2000	99.33	0.24
GCA_000518145.1	ASM51814v1	Vibrio cholerae ATCC 14547	1408477		ATCC 14547						3929281	Scaffold	2014-01-13	JADA01	124945	148001	61	Illumina HiSeq 2000	96.11	2.23
GCF_000518145.1	ASM51814v1	Vibrio cholerae ATCC 14547	1408477		ATCC 14547					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3929281	Scaffold	2014-01-13	JADA01	124945	148001	61	Illumina HiSeq 2000	96.11	2.23
GCA_900460535.1	42650_C02	Vibrio parahaemolyticus	670		NCTC10903					Annotation submitted by SC	5168732	Contig	2018-08-01	UHIL01	3297116				99.48	1.56
GCF_900460535.1	42650_C02	Vibrio parahaemolyticus	670		NCTC10903					GCF_900460535.1-RS_2024_08_15	5168732	Contig	2018-08-01	UHIL01	3297116				99.48	1.56
GCA_030398735.1	ASM3039873v1	Vibrio parahaemolyticus	670		ATCC 17802					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4922919	Scaffold	2023-07-03	JAOYOG01	403192	405322	69	Illumina NovaSeq	98.39	0.66
GCF_030398735.1	ASM3039873v1	Vibrio parahaemolyticus	670		ATCC 17802					GCF_030398735.1-RS_2024_07_05	4922919	Scaffold	2023-07-03	JAOYOG01	403192	405322	69	Illumina NovaSeq	98.39	0.66
GCA_001998785.1	ASM199878v1	Vibrio parahaemolyticus	670		ATCC 17802					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5071046	Contig	2017-02-13	MQUE01	309969			Illumina MiSeq	98.7	1.45
GCF_001998785.1	ASM199878v1	Vibrio parahaemolyticus	670		ATCC 17802					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5071046	Contig	2017-02-13	MQUE01	309969			Illumina MiSeq	98.7	1.45
GCA_001011015.1	ASM101101v1	Vibrio parahaemolyticus	670		ATCC 17802					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5067729	Scaffold	2015-04-24	LATW01	260767	366570	51	Illumina MiSeq	99.57	1.38
GCF_001011015.1	ASM101101v1	Vibrio parahaemolyticus	670		ATCC 17802					GCF_001011015.1-RS_2024_05_17	5067729	Scaffold	2015-04-24	LATW01	260767	366570	51	Illumina MiSeq	99.57	1.38
GCA_000813305.1	ASM81330v1	Vibrio parahaemolyticus NBRC 12711	1219066		NBRC 12711						4991873	Contig	2014-12-15	BBQD01	381903			454 GS-FLX Titanium; Illumina HiSeq 1000	97.56	1.17
GCF_000813305.1	ASM81330v1	Vibrio parahaemolyticus NBRC 12711	1219066		NBRC 12711					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4991873	Contig	2014-12-15	BBQD01	381903			454 GS-FLX Titanium; Illumina HiSeq 1000	97.56	1.17
GCA_001471275.2	ASM147127v2	Vibrio alginolyticus	663		FDAARGOS_97					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5177838	Contig	2018-01-19	LOSN02	3345160			PacBio; Illumina	99.39	2.04
GCF_001471275.2	ASM147127v2	Vibrio alginolyticus	663		FDAARGOS_97					GCF_001471275.2-RS_2024_05_31	5177838	Contig	2018-01-19	LOSN02	3345160			PacBio; Illumina	99.39	2.04
GCA_900460285.1	50465_H01	Vibrio alginolyticus	663		NCTC12160					Annotation submitted by SC	5151658	Contig	2018-06-30	UAVI01	393735				98.82	1.96
GCF_900460285.1	50465_H01	Vibrio alginolyticus	663		NCTC12160					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5151658	Contig	2018-06-30	UAVI01	393735				98.82	1.96
GCA_000467145.1	ASM46714v1	Vibrio alginolyticus NBRC 15630 = ATCC 17749	1219076		NBRC 15630					Annotation submitted by National Institute of Technology and Evaluation	5049668	Contig	2013-09-13	BATK01	221121			454 GS-FLX Titanium; Illumina HiSeq 1000	99.13	1.19
GCF_000467145.1	ASM46714v1	Vibrio alginolyticus NBRC 15630 = ATCC 17749	1219076		NBRC 15630					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5049668	Contig	2013-09-13	BATK01	221121			454 GS-FLX Titanium; Illumina HiSeq 1000	99.13	1.19
GCA_900460565.1	34500_C01	Vibrio vulnificus	672		NCTC13647					Annotation submitted by SC	4988619	Contig	2018-08-01	UHIW01	3251517				95.55	1.35
GCF_900460565.1	34500_C01	Vibrio vulnificus	672		NCTC13647					GCF_900460565.1-RS_2024_07_31	4988619	Contig	2018-08-01	UHIW01	3251517				95.55	1.35
GCA_000299635.1	ASM29963v1	Vibrio vulnificus NBRC 15645 = ATCC 27562	1219061		ATCC 27562						4327239	Contig	2012-09-27	AMQV01	119940			Illumina HiSeq	88.09	1.07
GCF_000299635.1	ASM29963v1	Vibrio vulnificus NBRC 15645 = ATCC 27562	1219061		ATCC 27562					GCF_000299635.1-RS_2024_08_06	4327239	Contig	2012-09-27	AMQV01	119940			Illumina HiSeq	88.09	1.07
GCA_001591065.1	ASM159106v1	Vibrio vulnificus NBRC 15645 = ATCC 27562	1219061		NBRC 15645						4828990	Contig	2016-02-23	BCUB01	117751			454 GS-FLX Titanium; Illumina HiSeq 1000	98.27	1.08
GCF_001591065.1	ASM159106v1	Vibrio vulnificus NBRC 15645 = ATCC 27562	1219061		NBRC 15645					GCF_001591065.1-RS_2024_08_09	4828990	Contig	2016-02-23	BCUB01	117751			454 GS-FLX Titanium; Illumina HiSeq 1000	98.27	1.08
GCA_001471575.2	ASM147157v2	Vibrio harveyi	669		FDAARGOS_109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5758394	Contig	2018-01-19	LOSK02	3540268			PacBio; Illumina	98.51	2.47
GCF_001471575.2	ASM147157v2	Vibrio harveyi	669		FDAARGOS_109					GCF_001471575.2-RS_2024_05_31	5758394	Contig	2018-01-19	LOSK02	3540268			PacBio; Illumina	98.51	2.47
GCA_900460165.1	51765_C01	Vibrio harveyi	669		NCTC12970					Annotation submitted by SC	5674887	Contig	2018-06-30	UAVF01	389611				97.71	2.27
GCF_900460165.1	51765_C01	Vibrio harveyi	669		NCTC12970					GCF_900460165.1-RS_2024_08_15	5674887	Contig	2018-06-30	UAVF01	389611				97.71	2.27
GCA_001591145.1	ASM159114v1	Vibrio harveyi NBRC 15634 = ATCC 14126 = KCTC 12724	1219071		NBRC 15634						5583643	Contig	2016-02-23	BCUF01	92314			Illumina HiSeq 1000	98.24	2.27
GCF_001591145.1	ASM159114v1	Vibrio harveyi NBRC 15634 = ATCC 14126 = KCTC 12724	1219071		NBRC 15634					GCF_001591145.1-RS_2024_09_13	5583643	Contig	2016-02-23	BCUF01	92314			Illumina HiSeq 1000	98.24	2.27
GCA_001263135.1	Vh-14126.1	Vibrio harveyi NBRC 15634 = ATCC 14126 = KCTC 12724	1219071		ATCC 14126						5602009	Contig	2015-08-07	AMCT01	45628			454	96.5	2.56
GCF_001263135.1	Vh-14126.1	Vibrio harveyi NBRC 15634 = ATCC 14126 = KCTC 12724	1219071		ATCC 14126					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5602009	Contig	2015-08-07	AMCT01	45628			454	96.5	2.56
GCA_900452855.1	51765_A01	Vibrio anguillarum	55601		NCTC12159					Annotation submitted by SC	4416484	Contig	2018-08-01	UGPJ01	3192191				98.69	0.78
GCF_900452855.1	51765_A01	Vibrio anguillarum	55601		NCTC12159					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4416484	Contig	2018-08-01	UGPJ01	3192191				98.69	0.78
GCA_001989995.2	ASM198999v2	Vibrio anguillarum	55601		DSM 21597					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4129890	Contig	2021-06-01	JAHGUP01	72773			Illumina HiSeq	98.69	0.52
GCF_001989995.2	ASM198999v2	Vibrio anguillarum	55601		DSM 21597					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4129890	Contig	2021-06-01	JAHGUP01	72773			Illumina HiSeq	98.69	0.52
GCA_000334195.1	Vc-CAIM519	Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920	1224742		CAIM 519					Annotation submitted by CIAD, A.C.	5076254	Contig	2013-01-29	AMDG01	46294			454	98.11	0.29
GCF_000334195.1	Vc-CAIM519	Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920	1224742		CAIM 519					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5076254	Contig	2013-01-29	AMDG01	46294			454	98.11	0.29
GCA_900460245.1	41665_F02	Vibrio fluvialis	676		NCTC11327					Annotation submitted by SC	4862605	Contig	2018-08-01	UHIP01	3169234				99.93	1.51
GCF_900460245.1	41665_F02	Vibrio fluvialis	676		NCTC11327					GCF_900460245.1-RS_2024_08_15	4862605	Contig	2018-08-01	UHIP01	3169234				99.93	1.51
GCA_014647395.1	ASM1464739v1	Aliivibrio fischeri	668		JCM 18803					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	4289740	Scaffold	2020-09-12	BMPC01	44068	72515	167	Illumina HiSeq X Ten	92.32	5.6
GCF_014647395.1	ASM1464739v1	Aliivibrio fischeri	668		JCM 18803					GCF_014647395.1-RS_2024_09_03	4289740	Scaffold	2020-09-12	BMPC01	44068	72515	167	Illumina HiSeq X Ten	92.32	5.6
GCA_001598835.1	ASM159883v1	Vibrio fluvialis NBRC 103150	1219074		NBRC 103150						4753473	Contig	2016-03-11	BCZR01	244887			454 GS-FLX Titanium; Illumina HiSeq 1000	99.93	1.51
GCF_001598835.1	ASM159883v1	Vibrio fluvialis NBRC 103150	1219074		NBRC 103150					GCF_001598835.1-RS_2024_08_12	4753473	Contig	2016-03-11	BCZR01	244887			454 GS-FLX Titanium; Illumina HiSeq 1000	99.93	1.51
GCA_016464335.1	ASM1646433v1	Aliivibrio fischeri ATCC 7744 = JCM 18803 = DSM 507	1298605		ATCC 7744						4300704	Scaffold	2021-01-03	JADCNP01	92622	92622	189	Illumina HiSeq 4000	92.21	5.1
GCF_016464335.1	ASM1646433v1	Aliivibrio fischeri ATCC 7744 = JCM 18803 = DSM 507	1298605		ATCC 7744					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4300704	Scaffold	2021-01-03	JADCNP01	92622	92622	189	Illumina HiSeq 4000	92.21	5.1
GCA_002737025.1	ASM273702v1	Vibrio splendidus	29497		DSM 19640					Annotation submitted by Georg-August-University Goettingen	5728726	Contig	2017-10-30	PDMZ01	300419			Illumina MiSeq	97.16	10.72
GCF_002737025.1	ASM273702v1	Vibrio splendidus	29497		DSM 19640					GCF_002737025.1-RS_2024_04_03	5728726	Contig	2017-10-30	PDMZ01	300419			Illumina MiSeq	97.16	10.72
GCA_900089845.1	VhemicentrotiCECT8714_SPAdes_Prokka	Vibrio splendidus	29497		CECT 8714					Annotation submitted by UVEG	5414248	Contig	2016-07-17	FLQQ01	295020				96.58	7.31
GCF_900089845.1	VhemicentrotiCECT8714_SPAdes_Prokka	Vibrio splendidus	29497		CECT 8714					GCF_900089845.1-RS_2024_08_20	5414248	Contig	2016-07-17	FLQQ01	295020				96.58	7.31
GCA_001558015.1	ASM155801v1	Vibrio splendidus	29497		NCCB 53037						5744915	Contig	2016-02-10	LNQX01	290730			Illumina MiSeq	97.16	10.4
GCF_001558015.1	ASM155801v1	Vibrio splendidus	29497		NCCB 53037					GCF_001558015.1-RS_2024_05_17	5744915	Contig	2016-02-10	LNQX01	290730			Illumina MiSeq	97.16	10.4
GCA_033843085.1	ASM3384308v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5180406	Contig	2023-11-20	JAWXXM01	3253271			Oxford Nanopore MinION; Illumina MiniSeq	99.93	3.79
GCF_033843085.1	ASM3384308v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5180406	Contig	2023-11-20	JAWXXM01	3253271			Oxford Nanopore MinION; Illumina MiniSeq	99.93	3.79
GCA_001591085.1	ASM159108v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		NBRC 15636						5100708	Contig	2016-02-23	BCUC01	753868			454 GS-FLX Titanium; Illumina HiSeq 1000	99.93	3.79
GCF_001591085.1	ASM159108v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		NBRC 15636					GCF_001591085.1-RS_2024_08_09	5100708	Contig	2016-02-23	BCUC01	753868			454 GS-FLX Titanium; Illumina HiSeq 1000	99.93	3.79
GCA_000417905.1	ASM41790v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5130031	Contig	2013-07-02	ATFJ01	192071			Illumina MiSeq	99.83	4.08
GCF_000417905.1	ASM41790v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5130031	Contig	2013-07-02	ATFJ01	192071			Illumina MiSeq	99.83	4.08
GCA_000438785.2	ASM43878v2	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		DSM 759						5113814	Scaffold	2013-07-19	ATWU01	62844	62844	172	Illumina	97.51	3.37
GCF_000438785.2	ASM43878v2	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		DSM 759					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5113814	Scaffold	2013-07-19	ATWU01	62844	62844	172	Illumina	97.51	3.37
GCA_900454585.1	49950_G01	Photobacterium damselae	38293		NCTC11647					Annotation submitted by SC	5058754	Contig	2018-06-29	UATL01	2798225				98.96	0.23
GCF_900454585.1	49950_G01	Photobacterium damselae	38293		NCTC11647					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5058754	Contig	2018-06-29	UATL01	2798225				98.96	0.23
GCA_003026815.1	ASM302681v1	Photobacterium damselae	38293		ATCC 33539					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4914916	Contig	2018-03-31	PYOG01	155188			Illumina MiSeq	98.96	0.23
GCF_003026815.1	ASM302681v1	Photobacterium damselae	38293		ATCC 33539					GCF_003026815.1-RS_2024_08_12	4914916	Contig	2018-03-31	PYOG01	155188			Illumina MiSeq	98.96	0.23
GCA_000176795.1	ASM17679v1	Photobacterium damselae subsp. damselae CIP 102761	675817		CIP 102761					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	5046328	Scaffold	2009-11-13	ADBS01	3236779	3236779	8		98.96	0.23
GCF_000176795.1	ASM17679v1	Photobacterium damselae subsp. damselae CIP 102761	675817		CIP 102761					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5046328	Scaffold	2009-11-13	ADBS01	3236779	3236779	8		98.96	0.23
GCA_000176135.1	ASM17613v1	Vibrio coralliilyticus ATCC BAA-450	675814		ATCC BAA-450					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	5680628	Contig	2009-10-06	ACZN01	919232				97.85	0.73
GCF_000176135.1	ASM17613v1	Vibrio coralliilyticus ATCC BAA-450	675814		ATCC BAA-450					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5680628	Contig	2009-10-06	ACZN01	919232				97.85	0.73
GCA_000338875.1	CAIM_602T_1.0	Vibrio mimicus CAIM 602	1259812		CAIM 602					Annotation submitted by CIAD, A.C.	4320286	Contig	2013-02-08	AOMO01	159054			IonTorrent	96.68	0.64
GCF_000338875.1	CAIM_602T_1.0	Vibrio mimicus CAIM 602	1259812		CAIM 602					GCF_000338875.1-RS_2024_03_31	4320286	Contig	2013-02-08	AOMO01	159054			IonTorrent	96.68	0.64
GCA_000817815.1	ASM81781v1	Vibrio owensii CAIM 1854 = LMG 25443	1229493		DY05					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6345380	Scaffold	2015-01-14	JPRD01	124014	124014	119	Illumina	99.61	1.45
GCF_000817815.1	ASM81781v1	Vibrio owensii CAIM 1854 = LMG 25443	1229493		DY05					GCF_000817815.1-RS_2024_03_21	6345380	Scaffold	2015-01-14	JPRD01	124014	124014	119	Illumina	99.61	1.45
GCA_000400325.1	ASM40032v1	Vibrio owensii LMG 25430	1280004		LMG 25430						5824957	Scaffold	2013-05-15	BAOE01	63024	63024	341	Illumina MiSeq	100	0.55
GCF_000400325.1	ASM40032v1	Vibrio owensii LMG 25430	1280004		LMG 25430					GCF_000400325.1-RS_2024_09_09	5824957	Scaffold	2013-05-15	BAOE01	63024	63024	341	Illumina MiSeq	100	0.55
GCA_900088415.1	VmediterraneiCECT0621_SPAdes_Prokka	Vibrio mediterranei	689					50		Annotation submitted by UVEG	5668610	Contig	2016-06-24	FLLQ01	523683				99.4	1.96
GCF_900088415.1	VmediterraneiCECT0621_SPAdes_Prokka	Vibrio mediterranei	689					50		GCF_900088415.1-RS_2024_08_20	5668610	Contig	2016-06-24	FLLQ01	523683				99.4	1.96
GCA_000181535.1	ASM18153v1	Vibrio mediterranei AK1	391591		AK1					Annotation submitted by The Gordon and Betty Moore Foundation Microbial Genome Sequencing project	5701826	Contig	2007-06-14	ABCH01	95350				91.54	2.56
GCF_000181535.1	ASM18153v1	Vibrio mediterranei AK1	391591		AK1					GCF_000181535.1-RS_2024_04_10	5701826	Contig	2007-06-14	ABCH01	95350				91.54	2.56
GCA_001591125.1	ASM159112v1	Vibrio mediterranei NBRC 15635	1219069		NBRC 15635						5629433	Contig	2016-02-23	BCUE01	241418			454 GS-FLX Titanium; Illumina HiSeq 1000	99.62	2.04
GCF_001591125.1	ASM159112v1	Vibrio mediterranei NBRC 15635	1219069		NBRC 15635					GCF_001591125.1-RS_2024_09_02	5629433	Contig	2016-02-23	BCUE01	241418			454 GS-FLX Titanium; Illumina HiSeq 1000	99.62	2.04
GCA_002741985.1	ASM274198v1	Vibrio rotiferianus CAIM 577 = LMG 21460	1224743		CAIM 577					Annotation submitted by CIAD, A.C.	5368584	Contig	2017-11-02	APHW01	188275			IonTorrent	96.65	0.63
GCF_002741985.1	ASM274198v1	Vibrio rotiferianus CAIM 577 = LMG 21460	1224743		CAIM 577					GCF_002741985.1-RS_2024_05_17	5368584	Contig	2017-11-02	APHW01	188275			IonTorrent	96.65	0.63
GCA_005281815.1	ASM528181v1	Vibrio chagasii	170679		LMG 21353						5295939	Scaffold	2019-05-13	SZQG01	79875	80136	141	Illumina HiSeq	99.34	0.84
GCF_005281815.1	ASM528181v1	Vibrio chagasii	170679		LMG 21353					GCF_005281815.1-RS_2024_03_29	5295939	Scaffold	2019-05-13	SZQG01	79875	80136	141	Illumina HiSeq	99.34	0.84
GCA_008801295.1	ASM880129v1	Vibrio chagasii	170679		CCUG 48643					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5363722	Contig	2019-10-01	VZPX01	79875			Illumina MiSeq	99.34	0.84
GCF_008801295.1	ASM880129v1	Vibrio chagasii	170679		CCUG 48643					GCF_008801295.1-RS_2024_05_17	5363722	Contig	2019-10-01	VZPX01	79875			Illumina MiSeq	99.34	0.84
GCA_900460225.1	52191_B01	Vibrio furnissii	29494		NCTC13120					Annotation submitted by SC	5006561	Contig	2018-08-01	UHIT01	3275677				99.43	1.81
GCF_900460225.1	52191_B01	Vibrio furnissii	29494		NCTC13120					GCF_900460225.1-RS_2024_08_15	5006561	Contig	2018-08-01	UHIT01	3275677				99.43	1.81
GCA_900089855.1	VatlanticusCECT7223_Velvet_Prokka	Vibrio atlanticus	693153		CECT 7223					Annotation submitted by UVEG	4990786	Scaffold	2016-07-16	FLQP01	100357	103129	100		99.74	0.54
GCF_900089855.1	VatlanticusCECT7223_Velvet_Prokka	Vibrio atlanticus	693153		CECT 7223					GCF_900089855.1-RS_2024_08_20	4990786	Scaffold	2016-07-16	FLQP01	100357	103129	100		99.74	0.54
GCA_000222665.2	ASM22266v1	Vibrio tubiashii ATCC 19109	1051646		ATCC 19109					Annotation submitted by Food and Drug Administration	5467464	Contig	2011-08-04	AFWI01	51475			454 FLX Titanium	99.49	0.49
GCF_000222665.1	ASM22266v1	Vibrio tubiashii ATCC 19109	1051646		ATCC 19109					GCF_000222665.1-RS_2024_03_31	5467464	Contig	2011-08-04	AFWI01	51475			454 FLX Titanium	99.49	0.49
GCA_000176175.1	ASM17617v1	Vibrio furnissii CIP 102972	675811		CIP 102972					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4958664	Contig	2009-10-06	ACZP01	1355700				98.81	1.78
GCF_000176175.1	ASM17617v1	Vibrio furnissii CIP 102972	675811		CIP 102972					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4958664	Contig	2009-10-06	ACZP01	1355700				98.81	1.78
GCA_002930005.1	ASM293000v1	Vibrio jasicida	766224		CECT 7692						5914347	Scaffold	2018-02-14	PKNK01	44761	44761	237	Illumina MiSeq	100	0.3
GCF_002930005.1	ASM293000v1	Vibrio jasicida	766224		CECT 7692					GCF_002930005.1-RS_2024_09_04	5914347	Scaffold	2018-02-14	PKNK01	44761	44761	237	Illumina MiSeq	100	0.3
